,metric_name,score,num_topics
0,V_measure,0.46774510713618284,50
1,completeness,0.5219378779488016,50
2,homogeneity,0.4237474419464389,50
3,V_measure,0.47272604935685464,50
4,completeness,0.5220596538992245,50
5,homogeneity,0.43191128713957916,50
6,V_measure,0.4958390940802479,50
7,completeness,0.5439131514764387,50
8,homogeneity,0.45557302631590574,50
9,V_measure,0.4812726607206193,51
10,completeness,0.5281223110821945,51
11,homogeneity,0.44205778174334054,51
12,V_measure,0.5617849393866509,95
13,completeness,0.5726938396694509,95
14,homogeneity,0.5512838648292401,95
